ITEM_NAME,ITEM_SEQ,ITEM_IMAGE,SHAPE,COLOR,PRINT_FRONT,PRINT_BACK
가스디알정50밀리그램(디메크로틴산마그네슘),200808876,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104,0,4,0,322
페라트라정2.5밀리그램(레트로졸),200808877,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,0,3,1,977
가스프렌정(모사프리드시트르산염이수화물),200809076,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143,1,0,2,46
디텐션정80밀리그램(발사르탄),200809276,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149935380891700140,0,2,3,3633
바르탄정(발사르탄),200809361,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,0,2,4,12867
리피논정80밀리그램(아토르바스타틴칼슘삼수화물),200809402,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161,2,0,5,237
사르발탄정160밀리그램(발사르탄),200809710,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009,2,3,6,10
가스베트정5밀리그램(모사프리드시트르산염수화물),200809882,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103,1,0,7,46
아푸르탄정150밀리그램(이르베사르탄),200809883,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198,2,0,8,434
발사르텔정80밀리그램(발사르탄),200809909,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI,0,2,9,315
발사르텔정160밀리그램(발사르탄),200809910,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y,2,3,10,315
동광모니플루메이트정350mg,200809959,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900061,2,0,11,6748
에스시탈정5밀리그램(에스시탈로프람옥살산염),200810125,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016,0,0,12,12868
발산정80밀리그램(발사르탄),200810314,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033,0,2,13,2625
가스리드정5mg(모사프리드시트르산염수화물),200810338,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025,1,0,1,12869
엑스반정80밀리그램(발사르탄),200810473,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136,0,2,14,9
발트렙정160밀리그램(발사르탄),200810522,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046,2,3,15,12870
로수로드정10밀리그램(로수바스타틴칼슘),200810870,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035,0,2,16,322
슈니펜정(모니플루메이트),200811004,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700065,1,0,17,6748
디오살탄정160밀리그램(발사르탄),200811104,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500025,2,3,18,12870
디오살탄정80밀리그램(발사르탄),200811105,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031,0,2,18,237
칸데사르정8밀리그램(칸데사르탄실렉세틸),200811403,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062,0,2,19,322
칸데사르정16밀리그램(칸데사르탄실렉세틸),200811404,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068,0,2,20,322
디로탄정160mg(발사르탄),200811619,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700097,2,3,21,12870
인케어정(옥수수불검화정량추출물),200811883,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117,0,3,22,322
제이코정,200811971,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100152,1,0,23,46
노페인에프정(수출용),200900005,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700155,2,0,24,322
깅코탄연질캡슐120밀리그램(은행엽건조엑스),200900018,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mky9VD2vUV,2,5,25,322
리버풀350연질캡슐(밀크시슬열매건조엑스),200900026,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031286653200142,2,1,26,322
모니맥정(모니플루메이트),200900193,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700170,1,0,27,322
모니필정350밀리그램(모니플루메이트),200900194,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BNX,1,0,28,322
모니메르정(모니플루메이트),200900195,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900007,1,0,29,12871
모니트정350밀리그램(모니플루메이트),200900196,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1A3H02Ph8,1,0,30,7852
칸데사르플러스정16/12.5밀리그램,200900378,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800074,1,3,31,322
코프나캡슐,200900605,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800014,1,3,32,322
굿스펜연질캡슐(덱시부프로펜),200900682,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800029,1,3,33,322
가스파플러스정,200900823,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050,0,4,34,12872
마이칼디정,200900833,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053,1,3,35,322
모빅캡슐7.5밀리그램(멜록시캄),200900844,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200071,1,4,36,322
모빅캡슐15밀리그램(멜록시캄),200900845,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200077,1,4,37,322
코큐렉스연질캡슐,200901014,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062,1,2,38,322
발크로버정500밀리그램(발라시클로비르염산염수화물),200901073,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040,1,0,39,913
엔에이피정(나프록센나트륨),200901148,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080,2,6,40,322
메디헤모연질캡슐,200901177,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003,1,1,41,322
이지에스정(방기황기탕건조엑스),200901187,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115,0,2,42,322
제일아노민정,200901205,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146,1,2,43,322
오렉스캡슐,200902918,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062,1,2,44,322
선콜정,200902983,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068,1,2,45,322
베리콜노즈정,200903022,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071,1,2,46,387
리버파워포르테연질캡슐,200903043,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080,1,3,47,322
오메코프정,200903055,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089,0,0,48,5340
산도스올란자핀정10밀리그램,200903065,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873,0,0,49,329
올란프레서정10mg(올란자핀),200903066,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099,0,0,49,329
산도스올란자핀정5밀리그램,200903067,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T,0,0,49,130
올란프레서정5mg (올란자핀),200903068,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107,0,0,49,130
산도스올란자핀정2.5밀리그램,200903078,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t,0,0,49,462
올란프레서정2.5mg (올란자핀),200903080,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122,0,0,49,462
센트룸실버정,200903183,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwITgp4WIn,2,0,50,2258
헤파피스연질캡슐,200903210,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094,1,3,51,322
메펜연질캡슐(메페남산),200903217,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400143,1,6,52,322
센타민플러스연질캡슐,200903247,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400155,1,2,53,322
헤모퀸골드캡슐,200903378,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ,1,2,54,322
제로민연질캡슐(디펜히드라민염산염),200903392,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164,2,5,55,322
비나코연질캡슐,200903395,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400167,1,6,56,322
리피다운캡슐120밀리그람(오르리스타트),200903409,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900057,1,5,57,322
